"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"Dipl.-Ingenieur",1969,"Oststadt","KlimalisteBW"
"Gemeindereferentin",1968,"Eggingen","KlimalisteBW"
"Physiker",1994,"Mitte","KlimalisteBW"
"Sekretärin",1963,"Donaustetten","KlimalisteBW"
"Student",1998,"Weststadt","KlimalisteBW"
"Auszubildende",1967,"Söflingen","KlimalisteBW"
"Physiker",1959,"Böfingen","KlimalisteBW"
"Dipl.-Betriebswirtin",1984,"Söflingen","KlimalisteBW"
"Student",1998,"Oststadt","KlimalisteBW"
"Software Qualitätsmanager",1969,"Jungingen","KlimalisteBW"
"Projektmanager Windenergie",1972,"Eselsberg","KlimalisteBW"
"Lehrer i.R.",1955,"Böfingen","KlimalisteBW"
"Krankenschwester",1977,"Weststadt","KlimalisteBW"
"IT-Projektleiterin",1997,"Eselsberg","KlimalisteBW"
"Tierärztin",1959,"Eselsberg","KlimalisteBW"
"Geschäftsführerin",1984,"Böfingen","KlimalisteBW"
"Physiker, Data Scientist",1987,"Weststadt","KlimalisteBW"
"Heilerziehungspflegerin",1976,"Eselsberg","KlimalisteBW"
"Student",2001,"Weststadt","KlimalisteBW"
"SAP-Berater i.R.",1959,"Donaustetten","KlimalisteBW"
"selbst. Web- und AppProgrammierer",1987,"Mitte","KlimalisteBW"
"Dipl.-Ingenieur",1974,"Eselsberg","KlimalisteBW"
"Kunstlehrerin",1967,"Mitte","KlimalisteBW"
"Schulleiter i.R.",1954,"Weststadt","KlimalisteBW"
"Pädagogin",1968,"Weststadt","KlimalisteBW"
"selbst. Dipl.-Informatiker",1968,"Böfingen","KlimalisteBW"
"Psychologe",1996,"Ermingen","KlimalisteBW"
"selbst. Finanzplaner",1969,"Oststadt","KlimalisteBW"
"Gesundheitspädagogin",1969,"Mitte","KlimalisteBW"
"Berater für IT-Sicherheit",1981,"Söflingen","KlimalisteBW"
"Schülerin",2008,"Jungingen","JUL"
"Student",2003,"Weststadt","JUL"
"Studentin",1999,"Oststadt","JUL"
"Auszubildender",2004,"Söflingen","JUL"
"Student",2003,"Eselsberg","JUL"
"Student",2002,"Söflingen","JUL"
"Student",2001,"Weststadt","JUL"
"Studentin",2003,"Eselsberg","JUL"
"Student",2003,"Gögglingen","JUL"
"Student",2000,"Wiblingen","JUL"
"Auszubildende",2003,"Weststadt","JUL"
"Auszubildende",1999,"Lehr","JUL"
"Studentin",2002,"Eselsberg","JUL"
"Auszubildender",2002,"Weststadt","JUL"
"Auszubildender",2001,"Jungingen","JUL"
"Schülerin",2006,"Jungingen","JUL"
