"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"374",1015,"kaufm. Angestellte",1974,"Eselsberg","DIE LINKE"
"375",1016,"Geschäftsführer",1986,"Böfingen","DIE LINKE"
"376",1017,"Notfallsanitäter",1983,"Weststadt","DIE LINKE"
"377",1018,"Student",2002,"Mitte","DIE LINKE"
"378",1019,"Studentin",1997,"Mitte","DIE LINKE"
"379",1020,"Elektrotechniker",1960,"Söflingen","DIE LINKE"
"380",1021,"Hausfrau",1970,"Böfingen","DIE LINKE"
"381",1022,"Verwaltungsmitarbeiter",1971,"Söflingen","DIE LINKE"
"382",1023,"Rentnerin",1953,"Weststadt","DIE LINKE"
"383",1024,"Projektentwickler",1952,"Weststadt","DIE LINKE"
"384",1025,"Ethnologin",1974,"Böfingen","DIE LINKE"
"385",1026,"wiss. Mitarbeiter",1996,"Oststadt","DIE LINKE"
"386",1027,"Rentnerin",1944,"Weststadt","DIE LINKE"
"387",1028,"Biologe",1985,"Eselsberg","DIE LINKE"
"388",1029,"Bankkauffrau",1995,"Böfingen","DIE LINKE"
"389",1030,"Übersetzer",1958,"Weststadt","DIE LINKE"
"390",1031,"Krankenschwester i.R.",1946,"Wiblingen","DIE LINKE"
"391",1032,"Auszubildender",2001,"Söflingen","DIE LINKE"
"392",1033,"Student",1995,"Oststadt","DIE LINKE"
"393",1034,"Rentner",1951,"Weststadt","DIE LINKE"
"394",1035,"Arbeiterin",1965,"Mitte","DIE LINKE"
"395",1036,"Krankenpflegehelferin",1974,"Böfingen","DIE LINKE"
"396",1037,"Künstlerin",1947,"Wiblingen","DIE LINKE"
"397",1038,"Arbeiter",1964,"Einsingen","DIE LINKE"
"398",1039,"kaufm. Angestellte",1959,"Eselsberg","DIE LINKE"
"399",1040,"Monteur",1951,"Eselsberg","DIE LINKE"
"400",1101,"Informatiker",1982,"Einsingen","PIRATEN"
"401",1102,"Rechtsanwalt",1967,"Einsingen","PIRATEN"
"402",1103,"selbständig",1990,"Einsingen","PIRATEN"
"403",1104,"IT-Systemadministrator",1974,"Weststadt","PIRATEN"
"404",1105,"Informatiker",1969,"Weststadt","PIRATEN"
"405",1106,"Biologe",1992,"Weststadt","PIRATEN"
"406",1107,"Arzt",1949,"Weststadt","PIRATEN"
"407",1108,"Geschäftsführer",1977,"Söflingen","PIRATEN"
"408",1109,"Rentner",1968,"Wiblingen","PIRATEN"
"409",1201,"Kulturmanager",1998,"Söflingen","BLO"
"410",1202,"Studentin",1996,"Donaustetten","BLO"
"411",1203,"Ingenieur",1977,"Lehr","BLO"
"412",1204,"Lehrer i.R.",1949,"Lehr","BLO"
"413",1205,"Student",2005,"Einsingen","BLO"
"414",1206,"Studentin",2000,"Jungingen","BLO"
"415",1207,"Arzt",1982,"Lehr","BLO"
"416",1208,"Landschaftsbautechniker",1965,"Donaustetten","BLO"
"417",1209,"Wirtschaftswissenschaftler",1990,"Gögglingen","BLO"
"418",1210,"Studentin",2003,"Jungingen","BLO"
"419",1211,"Consultant",1961,"Grimmelfingen","BLO"
"420",1212,"Oberfeldarzt",1961,"Lehr","BLO"
"421",1213,"Arzt",1952,"Eggingen","BLO"
"422",1214,"Arzthelferin",1974,"Lehr","BLO"
"423",1215,"Sportpsychologe",1988,"Söflingen","BLO"
"424",1216,"Auszubildender",2003,"Unterweiler","BLO"
"425",1217,"Facharzt",1967,"Donaustetten","BLO"
"426",1218,"Professor",1968,"Weststadt","BLO"
"427",1219,"Unternehmer",1968,"Donaustetten","BLO"
"428",1220,"Fachberater Vertrieb",1981,"Eggingen","BLO"
"429",1221,"Industriemeister",1989,"Ermingen","BLO"
"430",1222,"Masseurin",1976,"Lehr","BLO"
"431",1223,"Dipl.-Pädagogin",1985,"Jungingen","BLO"
"432",1224,"Dipl.-Sozialpädagogin",1962,"Donaustetten","BLO"
"433",1225,"Büroleiterin",1983,"Böfingen","BLO"
"434",1301,"Persönlicher Referent",1969,"Söflingen","AfD"
